VARIABLE;UNIDAD;ACTIVO;RAMA;LUGAR;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;2.2.5. Industria química;España;4876,53098;4637,511706;5963,632914;6847,712731;7326,669505;13247,4086;10588,68487;10017,85618;14581,73477;17787,07192;29824,13297;31408,56899;41027,002;40370,74159;42043,28397;67968,49741;65620,77637;56087,40526;49452,12356;65840,14087;46531,85868;75062,59374;96484,11377;113592,9683;146552,6685;131653,2782;197436,4942;205471,6978;156757,5514;192529,9675;178202,1939;216116,1663;259030,3606;303962,4214;246902,127;252089,6711;334354,2159;410180,5582;545745,9626;587072,308;602561,9812;706841,2983;904387,8687;1039658,57;1067941,406;1047638,835;1381580,015;1456065,393;1473636,717;1386067,578;1348184,083;1343783,409;1296200,359;1371835,387;1434534,596;1398679,438;1359631,773;1593476,635;2210079,559;2408321,763;2611362,07;2729183,667
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;2.2.6. Fabricación de productos de caucho y plásticos y de otros productos minerales no metálicos;España;497,7430568;679,4115551;907,4732605;1127,380924;1393,339618;1728,296889;1523,867135;1141,187838;1766,850705;3435,861769;5693,718709;5750,096899;6757,736903;6249,965928;6163,044976;7493,067032;13995,48673;17515,61646;13572,06341;15717,44072;16624,54547;23429,76562;24078,88174;34675,80552;44973,68623;40839,83316;50479,28094;61704,55103;50346,55755;51216,45643;34267,96035;47127,60252;52604,75997;69208,33042;63608,57398;65202,37737;73910,85547;75965,81261;70113,38694;111632,4341;110233,6489;119914,6131;174835,9862;204823,5896;228171,4752;233278,2924;348834,6615;341471,145;419486,1587;407713,7637;418595,9934;461399,1835;497198,7883;501794,4028;576697,7053;545493,0616;509006,8014;596165,9376;826705,18;802225,3335;800285,5543;870911,0226
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;2.2.7. Metalurgia y fabricación de productos metálicos;España;1230,352392;1217,160366;1502,926558;1899,307152;2497,55859;2888,888872;2335,796964;1899,471814;2689,590809;3326,687673;5702,400734;6092,941531;8593,709668;11629,41699;10519,55167;10238,70641;13372,1141;16931,51988;10952,52128;18060,52797;18520,74838;28517,37702;36074,27713;36898,81224;37503,35836;33361,66877;43125,16479;48585,62005;33543,13867;44305,07267;31358,58073;38513,02888;52595,80083;52413,37702;57821,00872;58940,60111;66549,825;79405,09435;93198,84678;137527,3409;137245,3863;140742,93;208780,7701;221179,4066;259780,4228;243275,2542;364371,8524;361464,073;445259,63;422892,925;429070,4263;477489,183;509306,609;517488,0444;578014,4862;543147,0285;542738,2164;606440,468;852079,1177;906571,776;961229,4519;1010308,314
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;2.2.8. Fabricación de productos informáticos, electrónicos y ópticos;España;4695,558465;4241,837711;5249,960014;4371,923559;5334,717372;6174,513377;6712,174367;6081,376615;8897,285333;13001,19223;17052,64559;16765,51594;21036,89539;32131,3743;32027,15758;29905,52116;45803,16067;47541,16004;44516,21208;68856,35668;68673,22238;91935,75607;105429,5304;141246,11;154273,0731;194162,0854;245718,6082;295224,3358;217817,2675;219807,2163;144290,3001;202108,5761;208963,9536;286333,3906;254971,4834;244995,4762;303905,2022;281278,3996;317647,0628;305612,2922;359337,8747;376243,4247;471182,8938;474351,0082;472220,015;427708,9271;512056,2858;550840,6884;541581,52;428416,3307;388424,4136;398723,8413;365519,1499;421859,7182;381472,961;373897,2747;322646,996;376462,1074;443210,7158;374969,4029;348357,1161;396489,2587
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;2.2.9. Fabricación de maquinaria y equipo n.c.o.p.;España;1034,505679;1215,049945;1581,385955;1465,571623;1197,570648;1416,112804;1559,183511;1558,752946;2166,103391;3228,610031;4202,299133;3666,587799;3742,198265;6245,738689;5891,298491;6817,622205;8145,476031;12124,30806;8548,432993;12861,23437;12896,85156;18472,30289;25092,97167;33567,73069;36759,3374;44083,47468;47282,6008;46373,14863;35516,02987;49273,41306;48690,73891;56454,99223;63056,59514;81439,79728;80878,61424;77153,89203;91066,91792;110020,0662;128845,0195;158560,1944;160063,4476;197181,7003;242084,7644;274213,7018;258605,4169;306902,3441;388302,3247;323627,3732;344051,6322;302403,5233;284107,1932;287348,3302;284183,3625;301059,2695;326591,5699;297387,7121;283517,2376;310149,3328;411638,2514;403562,8637;423995,9589;451814,7522
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;2.2.10. Fabricación de material de transporte;España;5021,43864;10243,84451;9571,996518;10793,73535;11298,52517;11776,55564;12252,59735;9669,801982;15645,77366;18194,37122;27920,09432;30679,79233;30180,04493;34995,52409;35784,4125;48764,07907;45356,53251;65052,87901;109006,5831;81142,08894;143941,5784;103020,1218;63662,18793;77746,86962;83454,33967;141418,4233;254924,3002;354444,2467;465113,3479;408259,7163;319771,7785;347449,7806;360836,5649;415104,8507;388083,395;466364,0369;494323,8821;601376,1269;718577,7101;999291,533;912935,7975;982318,0963;895383,3651;900898,3628;953077,7534;1061099,997;278461,5451;462453,2585;605449,2489;582906,7266;554271,1307;591434,6771;622650,5851;642839,5763;718107,849;693502,869;587494,1878;518797,9975;445113,6994;630897,0564;692596,5013;726308,8285
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;2.2.11. Industrias manufactureras diversas;España;250,505444;245,7515271;413,8504606;391,4432695;524,7837001;552,4633302;584,2091498;738,6315928;787,7998318;1061,340534;1949,26085;2154,298205;3393,092646;4805,971885;4584,06866;6518,870129;6790,887108;6654,092422;4967,975569;7701,737067;5925,182451;8599,315053;10502,11492;14469,21523;15889,31929;14963,02999;24506,6143;21282,51349;25849,78523;26790,28945;18315,29582;25000,13089;26708,19769;38428,36027;36355,56047;38383,25751;45188,54212;44026,31831;43236,64667;54472,0579;57965,22249;83820,35357;98839,02572;105262,6232;111924,7964;114700,4015;150221,2192;153427,4618;186311,7585;175696,7679;173585,7003;187326,7982;196073,558;196327,2874;214510,8929;208272,9366;181254,7684;208811,0319;283248,618;430869,3693;544060,7071;525365,1681
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;3. Construcción;España;1689,669197;1854,555603;1909,277225;2165,704978;2165,502643;3631,890826;2266,873313;1974,99073;4451,697584;7299,915156;8646,292717;8040,668226;9565,250769;8756,148625;7869,719838;7833,093457;13780,38418;11241,56274;11997,12737;14769,56255;8592,222771;14679,87293;9236,324364;24908,89627;48008,29453;55435,32873;51352,99743;44046,01634;53705,61563;54319,89927;51915,90686;61200;64800;76900;77600;94000;90400;99100;119900;155600;153100;205800;296900;276000;262900;253900;347300;267100;266400;171800;202600;128900;117100;141000;187200;121300;59700;92000;39300;187900;206000;233804,7308
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;4. Comercio, transporte y hostelería;España;858,3306257;878,333486;1064,448427;1202,139602;1395,071303;1432,237737;1734,670824;1527,012406;2346,704046;3026,647326;4647,59452;5006,063043;5690,381412;7711,949246;10240,187;13243,79303;17960,64427;22116,52606;23687,9957;30000,2582;27667,20973;35693,73291;45698,54125;46658,07057;59952,19812;56712,39511;65310,93077;67126,78475;88257,96946;92404,22354;90814,73878;111500;128000;144400;150900;173800;195400;201900;243200;307900;309200;348200;403200;420000;434700;424200;771100;889600;1066100;528500;559000;483400;449300;890200;880000;1007200;707000;988900;1012100;1200200;1308000;1335154,693
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;4.1. Comercio y reparación;España;428,3443055;453,8020157;542,4945474;636,8950443;681,1920284;706,1308591;894,9086047;907,8048897;1392,672464;1711,198752;2541,94344;3058,994292;3712,323303;4663,920935;6231,025952;8421,305086;10849,79989;13143,46176;14234,18414;19216,48483;20205,45134;22703,82818;30609,46588;31344,82157;39600,8307;36599,32134;43839,56658;46213,31107;58980,94845;65500,23669;63897,24286;73800;85600;96100;99400;115200;128500;135400;164700;208700;212900;242400;278600;288300;298600;291300;486000;315500;530100;310500;387200;323800;130900;545300;692800;613000;539200;718300;801700;779900;834000;842288,0036
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;4.2. Transporte;España;303,6130307;315,5803008;391,7321739;445,1450045;561,9408242;583,5160353;618,1445125;430,5018759;648,0374233;1052,419527;1709,401533;1557,297203;1628,957233;2627,340556;3484,19731;4097,334372;6122,099958;7928,252354;7838,629606;9417,889697;6248,442695;9690,941928;12103,49178;12677,19869;15617,41858;14817,05732;17987,81339;17317,2757;23887,54151;21205,66154;20307,62211;32400;36300;41100;41900;46200;61900;60200;71100;89400;86600;95300;112800;120200;126700;125600;259700;552300;489100;195200;148900;134000;277300;286900;188200;303000;144000;246400;195700;273000;304000;309774,2334
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;4.3. Hostelería;España;126,3732895;108,9511694;130,2217053;120,0995536;151,9384502;142,5908422;221,6177072;188,7056408;305,9941589;263,0290471;396,2495465;389,7715485;349,1008753;420,6877554;524,9637437;725,1535717;988,7444298;1044,811949;1615,181949;1365,883674;1213,315693;3298,962804;2985,583595;2636,050308;4733,948842;5296,016445;3483,550803;3596,197979;5389,4795;5698,325315;6609,873807;5300;6100;7200;9600;12400;5000;6300;7400;9800;9700;10500;11800;11500;9400;7300;25400;21800;46900;22800;22900;25600;41100;58000;-1000;91200;23800;24200;14700;147300;170000;183092,4556
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;5. Información y comunicaciones;España;2736,982006;3727,8414;3377,327592;3869,322782;4232,597716;5074,505869;5150,780127;7173,625362;9060,491365;9937,987946;15586,67861;20770,83751;18234,71245;24435,67323;37773,65924;44868,11828;54617,72674;70072,85749;85648,68307;77069,89232;75128,48179;111237,1797;140465,0401;152808,5287;204383,8074;251080,5945;287585,0874;283797,422;312843,4084;337823,3343;352054,8011;424300;481800;535900;554000;615900;659400;684600;876300;1031300;1006900;1153000;1346200;1480600;1472200;1420500;1462000;1608000;1433000;1516600;1618000;1389500;2089200;1909800;2272000;2086100;1922300;2779000;2835400;2948200;3277000;3361412,165
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;5.1. Edición, actividades audiovisuales y de radiodifusión;España;114,8767861;159,6683997;186,6844762;161,8514326;184,8020532;194,1579597;226,7391877;258,1747131;426,821067;385,1903291;663,3360253;759,0992986;892,9436912;1107,29049;1741,666569;1901,667303;2380,768034;2724,753107;3503,158693;4121,2189;5328,835326;6317,569855;8362,499356;11859,6527;11696,97655;10908,6456;10536,53507;13060,3314;17277,08287;18506,57545;16319,85951;18797,55567;30378,20699;31249,37474;35789,49585;42955,15652;85296,93472;80098,38962;79902,87226;177541,7105;139614,9792;111592,04;235669,1211;353196,6617;329528,2896;244346,9737;339977,9627;453788,8711;194639,456;350330,0189;335427,4985;266569,5595;432923,7676;336456,0189;487476,8433;416807,637;207018,0707;406205,6592;354652,4554;67276,56793;238233,1463;168817,2013
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;5.2. Telecomunicaciones;España;2224,498562;3024,743017;2637,232791;3081,373266;3259,766405;4055,162153;4031,666543;5856,90426;7386,377185;8229,209685;13236,28755;18044,6183;15154,59174;20894,45384;32972,51612;38853,77403;46841,29154;60491,94913;72866,34563;61672,36486;55706,77917;86538,40247;106930,2785;114784,9567;144261,4693;186567,3161;218705,3627;198996,6839;194572,68;179741,1878;171612,7013;208347,8114;293661,4676;286038,5796;288901,4961;314884,2685;342061,6109;351786,6558;522197,6523;574814,4676;568484,3717;649059,5112;738734,3456;563050,3966;563795,5387;627339,5677;716603,5067;502113,8569;384894,023;384249,5678;554813,4894;241886,1511;518562,028;614481,8824;713797,3345;511525,3181;340059,2326;847457,3215;576578,1826;24697,95753;296334,9974;164534,192
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;5.3. Tecnologías de la información (TI) y otros servicios de información;España;397,6066579;543,4299839;553,4103241;626,0980827;788,0292579;825,185756;892,3743963;1058,546389;1247,293113;1323,587932;1687,055037;1967,11991;2187,177017;2433,928899;3059,47655;4112,676953;5395,667168;6856,155252;9279,178749;11276,30856;14092,86729;18381,20737;25172,26229;26163,91925;48425,36156;53604,63282;58343,18959;71740,40671;100993,6456;139575,571;164122,2404;197154,6329;157760,3254;218612,0456;229309,008;258060,575;232041,4544;252714,9546;274199,4754;278943,8219;298800,6491;392348,4487;371796,5334;564352,9417;578876,1717;548813,4585;405418,5306;652097,272;853466,521;782020,4133;727759,0121;881044,2894;1137714,204;958862,0987;1070725,822;1157767,045;1375222,697;1525337,019;1904169,362;2856225,475;2742431,856;3028060,772
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;6. Actividades financieras y de seguros;España;772,0422303;1079,085546;1633,677764;1593,310269;1189,489678;1405,764786;2114,75618;2286,845868;3486,803195;4338,571342;7475,811921;10864,68752;9980,306448;10639,50818;27646,45847;46927,70272;30234,16558;20272,22477;21803,89809;22732,1656;29218,57613;32275,84678;24932,75994;40368,6899;52070,21149;77825,78243;101701,1004;93874,80355;121738,7656;120616,5798;120132,5928;122900;138800;144500;175800;139700;255600;347700;267900;302500;342800;238900;231800;308300;369500;425200;312700;348100;213900;1183000;1183000;1183000;1190800;1224600;971200;1162500;2201800;1043700;2072500;1974200;2302000;2425437,039
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;7. Actividades inmobiliarias;España;320,1299606;352,5299759;346,1351985;400,6623627;415,6176421;446,7844117;351,6333093;314,5584491;576,90918;752,8803717;1086,013654;1176,421662;1402,913842;1703,225834;2792,025962;3692,424262;3707,536946;2877,1261;2943,1227;3731,928122;6492,395387;5395,409109;4967,038869;6382,51504;8889,279398;8973,680452;9308,240975;8619,625216;10003,73051;11004,98983;9874,119735;9700;9600;13400;12300;19700;8500;8100;8500;12000;12800;27400;37700;30100;24200;18600;23600;21800;13700;91700;185400;117600;99300;163400;43200;95200;56500;78200;30600;24200;27000;29017,88077
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;8. Actividades profesionales;España;4781,109984;6480,347203;7315,498493;9479,799368;11872,05057;11995,94201;15473,39202;17170,31519;20732,64331;24641,54302;31122,23222;35461,47371;39611,90645;42816,25149;49930,92796;68186,64957;89996,64233;116189,451;158609,8367;188109,5358;209204,1654;276990,7328;394352,7064;415123,1834;619363,1347;636108,9065;855105,3998;950517,5031;1185006,461;1129603,405;1193034,815;1423700;989500;987900;1049200;944400;1056900;1113200;1298600;1622600;1703800;1860000;2143800;2318200;2745800;2992100;3719900;3755100;3632900;3370900;3640700;4154100;3557400;4049800;4473800;4615900;4569600;5275400;5997300;6620700;7036000;7302963,474
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;8.1. Actividades profesionales, científicas y técnicas;España;4760,820684;6453,470217;7285,715522;9443,45378;11822,65922;11943,69688;15412,1822;17098,77512;20645,45062;24538,21743;30981,32978;35294,98217;39410,07488;42593,62204;49654,09237;67780,15408;89415,32964;115405,1104;157630,5365;186929,4891;207808,5342;274889,3183;391447,5566;412298,439;615194,5676;632074,0816;848903,7712;943480,7918;1176032,341;1120015,615;1184017,07;1412800;977600;975200;1034400;927400;1032100;1088900;1268200;1584700;1661000;1811200;2097900;2269000;2695000;2943300;3663500;3708000;3599500;3286600;3490900;4088500;3410600;3938200;4180600;4498300;4469100;5115700;5835300;6358800;6742000;7002150,036
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;8.2. Actividades administrativas y servicios auxiliares;España;20,28930076;26,87698623;29,78297076;36,34558754;49,39134867;52,2451315;61,20981569;71,54007086;87,19268746;103,3255967;140,9024446;166,4915323;201,8315709;222,6294475;276,8355955;406,4954914;581,3126988;784,3405903;979,3002315;1180,046793;1395,631241;2101,414438;2905,149738;2824,744364;4168,567064;4034,824867;6201,628587;7036,71136;8974,119342;9587,789352;9017,745631;10900;11900;12700;14800;17000;24800;24300;30400;37900;42800;48800;45900;49200;50800;48800;56400;47100;33400;84300;149800;65600;146800;111600;293200;117600;100500;159700;162000;261900;294000;300813,4387
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;9. Administración pública, sanidad y educación;España;5740,048197;6501,299482;9283,065634;11373,69965;15993,86998;19139,46138;25396,94943;33899,08612;34043,07989;43038,36331;45955,36563;60723,49054;70696,95883;105476,8317;157167,9388;141609,6279;159750,967;164614,3264;217253,0413;236489,9078;262506,6722;311332,2834;357427,4945;376971,6966;451021,2156;581032,1719;747037,0789;787325,1409;696500,4539;713098,7686;651711,7659;702200;1157900;1212000;1319700;1392100;1652000;1858200;2103500;2554200;2656600;3114500;3476800;3887200;4389000;4727600;4739600;4672400;4503900;4427600;4459400;4425200;4540100;4651400;4829100;4870300;5007800;5331000;5821800;6402900;6778000;7390427,694
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;9.1. Administración pública;España;41,83293503;25,68990121;24,34492928;24,48595655;27,42749113;20,47933764;31,45864914;56,19669457;45,91863683;41,66653618;31,25749599;53,78219124;42,39599824;106,8315871;61,05871977;227,2734269;49,61567897;156,2512899;283,6661556;388,1600581;713,9876724;2306,845687;1972,780576;1783,017198;2181,105024;2156,369501;2908,838874;3085,28679;2997,378684;3590,650295;3152,710221;3000;3000;3000;4000;6000;4000;5000;9000;9000;6000;9000;11000;12000;10000;11000;3000;4000;2000;0;700;9200;107000;99000;139000;123900;134200;140000;152000;178000;180000;186539,0487
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;9.2. Educación pública;España;4761,720801;5188,100583;7740,202577;9283,803746;13663,0321;16589,56963;20717,22774;28810,53954;26345,7378;33182,37353;31173,92289;43229,51895;52774,75308;84839,04529;133898,3793;116540,2278;121785,9284;125814,3722;167756,5603;195804,5009;222321,003;252985,2055;289243,4039;306979,9317;364370,5394;489409,8383;638653,1933;679634,8514;576732,2759;578546,4789;511265,5122;532478,138;847265,856;914559,3412;944692,3181;981649,6585;1027596,975;1073495,435;1096453,513;1230142,701;1335091,819;1511131,976;1898834,636;2043440,654;2281890,622;2308303,803;1860891,452;1396386,453;1136356,101;1054045,467;936281,9653;896001,6379;888605,9267;950157,0894;995514,9196;1031915,608;1148057,648;1337496,19;1430740,335;1841561,921;1834224,737;2251197,15
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;9.3. Educación privada;España;796,1339524;1033,657628;1166,920024;1672,776937;1860,322046;1939,522903;3703,348753;3972,977135;6228,21474;7960,68373;11006,94533;12049,76405;12109,94164;12451,43661;13233,09584;15136,70871;17746,1447;19173,43539;21009,48322;24497,57734;23377,13851;27369,44638;34862,00197;37717,60768;51109,66586;48276,51148;56538,25521;58589,59975;77111,12541;87499,80589;97698,34756;126021,862;255634,144;241440,6588;310107,6819;334450,3415;527503,0255;682404,5652;867546,4875;1099657,299;1054908,181;1267468,024;1176865,364;1332159,346;1522509,378;1741396,197;2209708,548;2618213,547;2669743,899;2688354,533;2802718,035;2886298,362;2996094,073;3041442,911;3104685,08;3086584,392;3115342,352;3190203,81;3493159,665;3594838,079;3938775,263;4023456,304
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;9.4. Sanidad pública;España;55,60202994;148,0675613;218,7602959;213,0502161;257,3736187;396,7085877;596,168825;634,7002699;775,0714193;807,4403411;2278,59093;2856,000937;3432,200782;3528,749616;4756,037994;3127,509731;5500,226096;8448,686787;11676,98893;8230,244832;8611,09422;21067,57263;21527,41507;21941,31364;21401,81418;29188,5533;30856,2128;24779,37267;20270,18003;22922,33559;15589,75567;15318,73567;21316,29586;23622,50768;26647,1247;32499,38707;42756,14578;41712,71113;52747,60365;88749,50405;105759,1157;130970,9914;140623,0249;165522,9918;217700,4969;223678,3037;301716,9319;208839,3747;241538,587;241590,0348;262187,6358;216579,1019;192462,544;187916,2924;180949,657;184395,3598;172241,9299;167509,5006;207546,8952;256892,2847;307110,9035;344184,8003
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;9.5. Servicios sociales públicos;España;43,79292485;45,59701397;57,5575448;82,24553482;67,96234977;65,34312843;115,4972941;156,4009982;222,1906648;559,6387847;832,126449;1766,961612;1592,51759;3421,368201;3365,608193;4971,532593;12602,41084;8554,123844;13370,7202;4763,036515;4520,414668;4655,649252;6054,083128;4635,534368;5798,689199;5778,417455;9178,510727;10873,07664;7973,641443;9513,161422;7227,173715;6892,831941;9854,948193;7867,497491;10226,21205;12414,44299;15952,43089;15180,84534;20616,74595;36346,23959;38094,98195;42127,43831;57513,12534;64686,7486;65987,46702;83899,44365;89966,25866;54257,42921;76183,07468;68636,18578;75308,25029;58860,08775;52074,4595;49607,55585;45133,693;43749,98875;40140,45248;39649,84703;48745,36546;54942,50178;67443,43028;84849,78613
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;9.6. Sanidad y servicios sociales privados;España;40,96555469;60,18679403;75,28026309;97,33725759;117,7523763;127,8377932;233,2481655;268,2714847;425,9466339;486,5603842;632,5225357;767,4627935;745,1497358;1129,400399;1853,758726;1606,375664;2066,641308;2467,456869;3155,622469;2806,388106;2963,034131;2947,56398;3767,809861;3914,292024;6159,401954;6222,481857;8902,067915;10362,9537;11415,85247;11026,3365;16778,26656;18488,43238;20828,75594;21509,99483;24026,66325;25086,16994;34191,42333;40406,44353;57135,65041;90304,25636;116745,9024;153801,5703;191963,8498;269390,2596;290912,0361;359322,2526;274316,8095;390703,1961;378078,3383;374973,7795;382204,1139;358260,8103;303862,9965;323276,1518;363816,65;399754,6515;397817,6177;456140,6523;489607,7394;476665,2135;450445,6662;500200,6055
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;10. Otros servicios;España;1763,687599;2454,029442;2338,087365;2305,037135;2636,971291;2825,145112;3358,465098;4281,86627;5828,360201;5824,814006;8535,787596;11110,7057;12275,81482;17282,97593;28091,73266;32749,94444;38233,08764;42472,16406;55270,36483;70343,52012;96926,06735;110318,8529;139581,181;140668,0173;151597,5884;140639,1053;132074,0253;144546,5533;194059,7466;215051,379;204200,6462;206300;238100;246000;277500;321800;557200;564200;702300;796600;906500;1053200;1217700;1335400;1135000;1147100;768200;532800;509500;710400;632100;582300;606100;561500;408300;442700;221700;446200;432800;491900;525000;584014,0711
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;10.1. Actividades artísticas, recreativas y de entretenimiento;España;1748,374775;2433,516591;2314,529297;2275,89628;2601,794504;2789,970576;3302,466071;4218,533689;5735,836953;5704,012916;8349,255274;10874,33532;11998,20383;16917,47392;27584,85778;32103,70288;37400,65956;41454,95197;54016,49731;68837,3342;95394,92791;108326,2632;136859,1627;137919,003;147934,9667;137095,3245;127532,284;139690,3246;187864,9419;208605,7613;197927,496;199300;229500;236700;268000;311600;545300;551800;686800;776600;886200;1030900;1190200;1306600;1105100;1116800;737500;492700;477000;684900;608800;568900;589000;535800;383600;416700;201800;350000;326900;381900;413000;462535,2719
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;10.2. Otros servicios n.c.o.p.;España;15,31282462;20,5128505;23,55806758;29,14085484;35,17678787;35,17453586;55,99902757;63,3325811;92,52324879;120,8010899;186,5323214;236,3703791;277,6109934;365,5020167;506,8748769;646,2415539;832,4280866;1017,212095;1253,867523;1506,185919;1531,139443;1992,58963;2722,018258;2749,014306;3662,621765;3543,780724;4541,741323;4856,22869;6194,804674;6445,617709;6273,150147;7000;8600;9300;9500;10200;11900;12400;15500;20000;20300;22300;27500;28800;29900;30300;30700;40100;32500;25500;23300;13400;17100;25700;24700;26000;19900;96200;105900;110000;112000;121478,7991
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;Otras agrupaciones sectoriales: Servicios totales (4-10);España;16972,3306;21473,46654;25358,24047;30223,97117;37735,66818;42319,84131;53580,64699;66653,30966;76074,99119;91560,80732;114409,4842;145113,6797;157892,9943;210066,4156;313642,9301;351278,2602;394500,7706;438614,6758;565216,9424;628477,208;707143,568;883244,0375;1107424,762;1178980,701;1547277,435;1752372,636;2198121,864;2335807,833;2608410,535;2619602,68;2621823,48;3000600;3143700;3284100;3539400;3607400;4385000;4777900;5500300;6627100;6938600;7795200;8857200;9779800;10570400;11155300;11797100;11827800;11373000;11828700;12277600;12335100;12532200;13450700;13877600;14279900;14686700;15942400;18202500;19662300;21253000;22428427,02
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;Otras agrupaciones sectoriales: Servicios públicos (9.1, 9.2, 9.4 y 9.5);España;4902,94869;5407,45506;8040,865347;9603,585454;14015,79556;17072,10068;21460,35251;29657,8375;27388,91852;34591,1192;34315,89777;47906,26369;57841,86745;91895,9947;142081,0842;124866,5435;139938,181;142973,4341;193087,9356;209185,9423;236166,4995;281015,273;318797,6827;335339,7969;393752,1478;526533,1786;681596,7557;718372,5875;607973,4761;614572,6262;537235,1518;557689,7056;881437,1;949049,3464;985565,6549;1032563,489;1090305,551;1135388,991;1178817,862;1364238,445;1484945,916;1693230,406;2107970,786;2285650,394;2575578,586;2626881,55;2255574,643;1663483,257;1456077,763;1364271,688;1274477,851;1180640,828;1240142,93;1286680,938;1360598,27;1383960,957;1494640,03;1684655,538;1839032,596;2331396,707;2388779,071;2866770,785
Inversión bruta;Miles de euros corrientes;2.2. Otros activos inmateriales;Otras agrupaciones sectoriales: Servicios privados (4-8, 9.3, 9.6, 10);España;12069,38191;16066,01148;17317,37513;20620,38571;23719,87262;25247,74062;32120,29448;36995,47216;48686,07267;56969,68813;80093,58639;97207,41599;100051,1268;118170,4209;171561,8459;226411,7167;254562,5895;295641,2417;372129,0068;419291,2657;470977,0685;602228,7645;788627,0793;843640,9045;1153525,287;1225839,458;1516525,108;1617435,245;2000437,059;2005030,053;2084588,328;2442910,294;2262262,9;2335050,654;2553834,345;2574836,511;3294694,449;3642511,009;4321482,138;5262861,555;5453654,084;6101969,594;6749229,214;7494149,606;7994821,414;8528418,45;9541525,357;10164316,74;9916922,237;10464428,31;11003122,15;11154459,17;11292057,07;12164019,06;12517001,73;12895939,04;13192059,97;14257744,46;16363467,4;17330903,29;18864220,93;19561656,23
Inversión bruta;Miles de euros corrientes;2.2.1. I+D;0. Total;España;29756,18163;37190,17592;44505,37497;52411,61073;62309,07819;73574,04631;83092,25423;88360,40571;111521,35;147072,9448;196077,0148;224513,1763;263986,9697;328432,0057;390736,7332;444285,3815;539043,2435;622781,2125;735064,343;845033,0685;893945,2042;1047848,982;1260056,903;1424035,649;1825592,314;2088357,171;2833021,823;3112712,531;3238629,383;3240286,566;3029898,46;3574000;3758000;3937000;4132000;4183000;4969000;5349000;6368000;8028000;8164000;9110000;10575000;11639000;12920000;13686000;14567000;14336000;14420000;13784000;14085000;14332000;14540000;15479000;16390000;16692000;16972000;18612000;22339000;24145000;25530000;26851457,93
Inversión bruta;Miles de euros corrientes;2.2.1. I+D;1. Agricultura, ganadería, silvicultura y pesca;España;474,5206864;548,1296826;606,8423704;760,1965443;1160,840997;1114,847452;958,2920991;911,824218;1143,031281;1397,289309;2243,227103;2640,847422;3701,770385;2913,002538;3091,107259;4249,753266;7779,032589;9620,191187;8565,974774;15555,33707;14701,23156;10940,88764;11234,16467;11126,91075;11070,28547;11343,24576;14805,80223;13034,45883;12099,08352;13486,56188;12504,66179;13900;15300;16400;16600;17400;21500;22800;28900;37500;36000;38800;45600;49200;53100;54000;55700;51800;64000;59600;66200;66100;74800;86300;92500;93100;92000;98700;84800;104800;111000;104750,8693
