VARIABLE;UNIDAD;ACTIVO;RAMA;LUGAR;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.2.2. Industria textil, confección de prendas de vestir e industria del cuero y del calzado;España;628604,6198;505981,6915;557980,7435;475172,125;556691,9189;611008,318;846231,5581;1015109,819;1060239,361;1119418,551;985426,3605;1068535,964;1070693,961;690454,2952;794913,6002;798420,7762;868464,8624;842624,9864;958100,588;636159,9487;742402,9357;808079,81;1003818,227;1383428,205;1322297,684;1222359,76;1067301,447;1527643,906;972261,3122;731506,0737;1079364,539;1061409,208;1113061,482;1257079,231;1499799,825;1588149,981;1031352,99;1080050,053;971265,2695;946906,8418;908899,9735;526497,7756;820746,4611;580829,8588;515799,0747;237545,4431;322220,6326;273022,0894;262954,3411;331597,6175;455445,0303;598170,6052;691724,1741;652301,3036;734053,3885;733338,1688;647960,96;731573,1548;593916,2971;687102,7906;697032,0306;758563,2928
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.2.3. Industria de la madera y del corcho, industria del papel y artes gráficas;España;264172,7392;391119,3399;594760,7541;404516,265;485603,5803;525149,6181;502305,3472;401665,6895;866462,984;671097,1275;1080423,61;738088,2692;997441,7272;768568,0048;769603,0187;571822,4983;735410,1542;785128,5104;664472,7485;658694,9663;674966,1128;771689,2536;1012202,644;1451226,364;1657725,22;2053124,061;2106433,378;2134904,54;1673390,962;1377907,208;1128904,082;1667338,134;1791660,008;1895058;2358141,682;2468980,841;2763032,537;2500720,79;2471559,861;2369387,352;2729483,292;2545506,276;2672966,897;2785780,604;2066159,855;1182965,685;1311384,562;1176177,847;1662460,421;1349103,525;1399703,375;2007084,264;2613858,819;2632632,012;2820225,856;3289527,827;2495526,691;2119590,12;2577729,388;3024332,336;3798769,3;3714417,61
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.2.4. Coquerías y refino de petróleo;España;339339,3813;311768,53;379979,0261;418866,7526;335489,4999;329361,2598;636173,2329;573544,7602;656614,4716;1314998,838;1147938,805;828848,8264;1164927,062;1156766,744;682638,4284;450592,1811;710936,0992;737624,0672;477823,3329;463366,1543;146788,816;10797,70791;118231,2721;268771,5879;274590,1456;678588,8283;981058,477;900803,5607;578769,5084;661701,4925;497502,1561;486195,4093;692739,416;526830,1018;619073,8731;709744,9752;771667,1157;713608,9589;613061,6638;608122,4828;974932,5352;900473,7329;855294,6971;856688,8656;1126209,677;2204982,562;2121386,758;1982163,645;875195,1164;1094714,005;756752,6685;1094675,321;1411684,382;1614724,324;2565909,992;3279327,349;2576308,909;2285022,193;1348615,249;1173336,421;888416,2752;1135373,923
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.2.5. Industria química;España;774612,2509;762395,8318;940159,4499;893643,1965;903272,1329;1681857,145;1474833,777;1416864,973;1633255,228;1600137,147;2009251,958;1725925,483;1816354,614;1519887,326;1524756,319;2055970,294;1405149,343;953379,9093;816397,2245;836631,9713;626830,6024;919036,3619;1139045,279;1332512,394;1658655,341;1634290,029;2032820,142;2114742,277;1589390,679;1542291,682;1590034,394;1815638,506;2265008,911;2322545,191;2573612,677;2775141,346;2185472,767;2259500,74;2166971,752;2065250,325;1775320,176;1793866,766;2271234,798;2644918,326;2717262,983;2051211,762;1989843,912;2102838,358;2467997,688;3390384,158;3254458,452;3769902,974;4567835,042;4718456,805;5385426,527;5642880,608;5801050,404;6817588,147;6414698,763;7120395,755;7641044,224;8089394,189
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.2.6. Fabricación de productos de caucho y plásticos y de otros productos minerales no metálicos;España;564407,9302;808843,5698;1053474,611;1113336,461;1273364,275;1579293,499;1592631,724;1194341,128;1464784,722;2332721,219;2845483,507;2364253,69;2242904,72;1760490,842;1630111,708;1640105,996;2098260,921;2028228,356;1568352,361;1380787,728;1507345,575;1891015,044;1922159,824;2841122,412;3553809,374;3635343,603;3579784,5;4334974,078;3388939,108;2634352,174;2098420,591;2722000,732;2746976,148;2978591,559;3421591,56;3729593,022;3467696,438;3542651,793;3284197,085;3388056,477;3435063,056;3251194,208;3229162,997;3747705,65;3426373,843;1869658,152;1756364,878;1585561,961;1529653,286;1448663,907;1414321,484;2025824,834;2390809,359;2468446,241;3231930,877;3291754,648;2719309,421;3462704,763;3290712,827;3173220,45;3196217,775;3489621,305
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.2.7. Metalurgia y fabricación de productos metálicos;España;1507569,413;1543535,183;1922221,747;2179775,798;2631217,532;3058675,187;2937706,503;2333365,78;2699408,945;2874998,93;3611042,149;3120498,402;3585892,095;4034592,392;3298369,205;2666369,28;2438206,392;2427667,523;1547831,364;1932568,259;1940914,545;2735606,763;3451474,012;3700671,635;3841908,139;3846551,322;4075486,634;4471164,607;2953172,041;2878280,436;2422381,674;2908240,212;3045964,605;3029569,577;3483698,13;3989000,597;3847817,287;3729751,93;3557191,841;3687349,304;3056572,333;3472416,872;3333764,557;3620496,535;4203460,162;2160735,816;2254133,983;2287076,175;3287103,285;2465539,669;2645747,45;3868966,952;4224577,13;4523685,684;5417071,636;5313004,018;6251307,264;4675329,571;4733856,288;4862729,977;5225414,948;5519051,413
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.2.8. Fabricación de productos informáticos, electrónicos y ópticos;España;478208,253;449954,2461;526332,7581;359410,8259;418908,8108;498271,2526;584201,6834;541335,6687;625273,3487;726928,5068;726135,7132;588882,7681;595770,2383;774541,0089;746310,7075;585063,8768;642444,5373;534565,5348;485451,626;584987,9754;604614,0459;734488,6254;805360,0599;1056985,035;1114211,059;1493392,006;1621810,416;1950575,761;1423686,648;1184151,385;856057,2038;1112443,181;1222214,789;1814692,446;1760481,657;1938434,049;1385059,356;1488861,983;1331504,065;1319210,242;1354279,412;1337709,071;1025159,414;1231486,979;1269421,465;708560,9975;739716,1111;732361,1804;891363,5838;684882,0591;637357,9401;999367,3875;1005954,767;1210936,82;1001812,053;1045052,616;874190,9548;1045957,661;862529,088;879802,1891;844383,4692;949481,0797
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.2.9. Fabricación de maquinaria y equipo n.c.o.p.;España;211834,1323;261397,9217;317386,2914;239002,9501;181654,1178;219304,6164;257701,6162;264669,6791;290185,704;341098,6333;331175,2839;238318,6287;195467,2402;277711,3387;253461,113;242550,8754;202969,4477;234765,9072;164513,8415;190907,5464;203087,4857;259956,7856;337780,5492;451902,6614;474293,4683;617054,3882;541505,0841;529408,2499;401676,2858;436843,8079;483897,7989;528860,4935;541445,9931;586741,6234;732100,938;774904,8102;840993,0182;837002,4072;804108,3235;794548,6918;725479,1;602659,3785;704849,7968;714223,6552;774990,691;637422,7304;614213,2986;399120,4164;550723,393;600199,2376;578846,7442;842841,5217;1004559,845;1004301,076;1233223,212;1078910,517;985377,0745;1038401,45;952263,5953;1043109,237;1096659,798;1174969,432
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.2.10. Fabricación de material de transporte;España;713838,6539;1526803,201;1333994,749;1243713,553;1201898,302;1279492,561;1414270,391;1143486,228;1481432,303;1372536,945;1576692,24;1424506,861;1124476,753;1107546,099;1080474,615;1215262,307;804688,412;905540,0049;1484404,068;861646,8114;1557265,069;1019546,546;620299,2102;758942,2076;799421,4522;1424081,636;2098598,318;2846184,099;3671938,122;2578351,768;2238856,395;2313608,609;2350977,275;2585645,332;3173795,278;3524984,133;3016222,424;3216479,906;3037727,263;2950110,899;2767082,167;2371113,887;2722162,235;2332420,987;2454116,368;1981736,436;552490,9805;529852,3737;879729,4681;957171,7681;924834,4416;1326322,723;1417301,145;1432239,799;1745791,424;1690795,411;1280229,798;1088914,473;798860,2852;1241637,139;1382464,462;1443214,613
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.2.11. Industrias manufactureras diversas;España;164956,1024;170348,2486;273692,3118;218071,3435;266204,1076;282859,5574;331288,8156;424042,0853;361368,1896;392941,0947;529043,5499;479948,7245;604966,6199;726278,3178;654305,9951;762801,3404;546640,9024;412376,5186;310566,4623;365686,2644;297354,5318;385730,0911;459370,3694;650037,2607;695617,8325;731931,1973;933020,6979;800552,5424;932104,8087;734424,0591;606899,2302;769797,3205;834599,2262;904642,1578;1072646,566;1220826,318;1048011,245;1064920,761;992311,3811;971137,6529;1086198,887;934086,82;956092,7556;927041,553;975691,0032;579171,0687;736173,8651;536580,3947;655892,6098;739372,1641;655533,1497;1023665,112;1544325,899;1280722,754;1670129,125;1732369,081;1226441,346;1510254,546;1476622,716;2173624,989;2746678,871;2684712,114
